"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Turb_Kin_Energy","Omega"
84, 3.784979252510000e-01, 2.220446049250313e-16, 1.326522369965363e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876490987420857e+05, 1.000000000000000e-10, 2.785503333549759e+09
85, 3.900256382880000e-01, 2.220446049250313e-16, 1.326521512826716e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876487975458312e+05, 1.000000000000000e-10, 2.785504276173455e+09
86, 4.019253126140000e-01, 2.220446049250313e-16, 1.326517632278128e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876485063917922e+05, 1.000000000000000e-10, 2.785516515447503e+09
87, 4.142179315450000e-01, 2.220446049250313e-16, 1.326517001857123e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876482163469341e+05, 1.000000000000000e-10, 2.785516699431516e+09
88, 4.269260622260000e-01, 2.220446049250313e-16, 1.326512375984088e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876479170727572e+05, 1.000000000000000e-10, 2.785531644907025e+09
89, 4.400740085990000e-01, 2.220446049250313e-16, 1.326511857661925e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876476175229721e+05, 1.000000000000000e-10, 2.785531342160632e+09
90, 4.536879824320000e-01, 2.220446049250313e-16, 1.326507873462538e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876473235410313e+05, 1.000000000000000e-10, 2.785543945355294e+09
91, 4.677962949600000e-01, 2.220446049250313e-16, 1.326507507289689e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876470369419668e+05, 1.000000000000000e-10, 2.785543174130724e+09
92, 4.824295720830000e-01, 2.220446049250313e-16, 1.326502699758378e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876467469543545e+05, 1.000000000000000e-10, 2.785558863171257e+09
93, 4.976209965680000e-01, 2.220446049250313e-16, 1.326502666621906e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876464505241731e+05, 1.000000000000000e-10, 2.785556782722684e+09
94, 5.134065813120000e-01, 2.220446049250313e-16, 1.326498210227990e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876461572267208e+05, 1.000000000000000e-10, 2.785571143925251e+09
95, 5.298254783930000e-01, 2.220446049250313e-16, 1.326498135642938e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876458732385881e+05, 1.000000000000000e-10, 2.785569309774010e+09
96, 5.469203295140000e-01, 2.220446049250313e-16, 1.326492822151804e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876455899636397e+05, 1.000000000000000e-10, 2.785586927036692e+09
97, 5.647376644470000e-01, 2.220446049250313e-16, 1.326493280855691e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876452984184294e+05, 1.000000000000000e-10, 2.785583057192791e+09
98, 5.833283553420000e-01, 2.220446049250313e-16, 1.326488672835864e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876450076989614e+05, 1.000000000000000e-10, 2.785598000620410e+09
99, 6.027481362320000e-01, 2.220446049250313e-16, 1.326488877806302e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876447246299937e+05, 1.000000000000000e-10, 2.785595135622852e+09
100, 6.230581989500000e-01, 2.220446049250313e-16, 1.326483279214364e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876444451225255e+05, 1.000000000000000e-10, 2.785613839457454e+09
101, 6.443258788700000e-01, 2.220446049250313e-16, 1.326484390170842e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876441599816380e+05, 1.000000000000000e-10, 2.785607596043505e+09
102, 6.666254466970000e-01, 2.220446049250313e-16, 1.326479111516163e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876438736787046e+05, 1.000000000000000e-10, 2.785625061912127e+09
103, 6.900390259370000e-01, 2.220446049250313e-16, 1.326479393782810e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876435953111924e+05, 1.000000000000000e-10, 2.785621944874869e+09
104, 7.146576599530000e-01, 2.220446049250313e-16, 1.326473110129581e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876433213239145e+05, 1.000000000000000e-10, 2.785643233041212e+09
105, 7.405825578610000e-01, 2.220446049250313e-16, 1.326475115264093e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876430431836045e+05, 1.000000000000000e-10, 2.785633722377834e+09
106, 7.679265552350000e-01, 2.220446049250313e-16, 1.326469525607036e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876427655578707e+05, 1.000000000000000e-10, 2.785652407488613e+09
107, 7.968158341210000e-01, 2.220446049250313e-16, 1.326470207558878e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876424984638228e+05, 1.000000000000000e-10, 2.785647890568136e+09
108, 8.273919576770000e-01, 2.220446049250313e-16, 1.326463491595376e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876422343374568e+05, 1.000000000000000e-10, 2.785670857150827e+09
109, 8.598142887360000e-01, 2.220446049250313e-16, 1.326466403467363e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876419661330621e+05, 1.000000000000000e-10, 2.785658054338665e+09
110, 8.942628795040000e-01, 2.220446049250313e-16, 1.326459859255224e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876417055699395e+05, 1.000000000000000e-10, 2.785680409973496e+09
111, 9.309419431120000e-01, 2.220446049250313e-16, 1.326460036740312e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876414586003184e+05, 1.000000000000000e-10, 2.785677915239965e+09
112, 9.700840484090000e-01, 2.220446049250313e-16, 1.326452533593639e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876412208335538e+05, 1.000000000000000e-10, 2.785704000308168e+09
113, 1.011955220140000e+00, 2.220446049250313e-16, 1.326456907127181e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876409925429519e+05, 1.000000000000000e-10, 2.785686068107355e+09
114, 1.054913688830000e+00, 2.220446049250313e-16, 1.326449964264224e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876407780780125e+05, 1.000000000000000e-10, 2.785710246698286e+09
115, 1.097872157520000e+00, 2.220446049250313e-16, 1.326450494216301e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876405767518813e+05, 1.000000000000000e-10, 2.785706782796843e+09
116, 1.140830626210000e+00, 2.220446049250313e-16, 1.326443383679979e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876403876446584e+05, 1.000000000000000e-10, 2.785731772627708e+09
117, 1.183789094900000e+00, 2.220446049250313e-16, 1.326447478495592e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876402218394355e+05, 1.000000000000000e-10, 2.785715339300588e+09
118, 1.226747563590000e+00, 2.220446049250313e-16, 1.326441045341027e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876400772860473e+05, 1.000000000000000e-10, 2.785738145881960e+09
119, 1.269706032280000e+00, 2.220446049250313e-16, 1.326440904201841e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876399449418276e+05, 1.000000000000000e-10, 2.785737685979337e+09
